"last_name, first_name","player_id","year","strikeout","k_percent","bb_percent","batting_avg","on_base_plus_slg","p_era","z_swing_percent","z_swing_miss_percent","oz_swing_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","in_zone_swing","whiff_percent","swing_percent","f_strike_percent","groundballs_percent","flyballs_percent","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_z","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break","ch_range_speed","n_cukc_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break","cu_range_speed","n_sift_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break","fs_range_speed","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_range_speed",""
"Kelly, Merrill","518876","2023","187",25.9,9.4,".222","0.670","3.29",68.3,18.1,32.9,"648","1692","463","872",27,49.1,61,45.7,23.6,"30","92.2","2345","-17.4","16.5","1.5","5.5","85.4","2320","1.6","-34.3","4.1","1.5","23.1","88.7","2138","-15.7","-33.8","15.8","1.4","11","82.1","2569","8.9","-51","13.8","1.7","12.2","92.4","2204","-15.5","-25.7","17","1.4","18.1","90.8","2350","-1.3","-20.6","12.6","1.5",,,,,,,,"60.4","91.8","2318","-7.2","-20.1","1.7",
"Perez, Martin","527048","2023","93",15.3,8.1,".274","0.777","4.45",65,11.8,28.1,"588","1531","104","676",17.2,45.3,63.8,46.1,25.3,"3.9","91.8","2023","-17.4","18.8","1.4","1","83.4","2310","-3.5","-32.9","7.8","1.4","26.5","84.1","1680","14.7","-30.2","17.1","1.2","3.7","79.1","2443","-3.7","-48.4","6.4","1.4","42.9","91.6","1964","16.4","-22.9","19.2","1.3","22.1","89.2","2179","2.5","-21.7","13.1","1.6",,,,,,,,"68.9","90.9","2036","11.7","-22.2","1.9",
"Anderson, Tyler","542881","2023","119",18.9,10.2,".266","0.801","5.43",72.1,21.1,29.5,"822","1588","17","833",27.8,49.7,59.9,31,33.9,"37.3","90.1","2218","-15.1","19.4","1.5","0.5","78.3","2344","-5.5","-41.8","8.1","1.8","33.8","80","1861","13","-31.3","17.5","1.6","0.2","73.2","2247","-0.5","-59.3","8.6","1.4","5.6","88.5","2227","17.9","-28.4","19.5","1.5","22.4","85.1","2439","-3.3","-26.5","11.9","1.9",,,,,,,,"65.3","88.3","2294","3.2","-20.2","3.1",
"Cole, Gerrit","543037","2023","222",27,5.8,".206","0.581","2.63",70.5,19.4,29.9,"233","1969","1079","1149",26,50.1,67.7,40.3,27.4,"53","96.7","2412","-12","19.4","1.4","20.8","89.1","2542","4.7","-32.6","5.7","1.5","7.1","89.1","1581","-14.2","-24.4","17.7","1.4","12.1","82.9","2783","10.1","-53.9","17.2","1.5",,,,,,,,"7","92.7","2511","2.8","-20.8","11.4","1.5",,,,,,,,"60","96.2","2424","-7.1","-13","2",
"Eovaldi, Nathan","543135","2023","132",22.9,8.1,".225","0.677","3.63",70,18.8,28.6,"617","1224","391","725",26.3,47.8,60,51.5,21.4,"37.2","95.1","2168","-16.7","18.6","1.6","4","83.9","2145","6.8","-37.7","7.2","1.5",,,,,,,,"13.5","76","1956","9.2","-56.2","12.9","1.6",,,,,,,,"17.6","90.6","2325","0.6","-23.3","10.3","1.7","27.7","87.9","1641","-13.4","-33.8","13.7","1.6","54.8","93.7","2218","-8.3","-18.8","2.9",
"Gray, Sonny","543243","2023","183",24.3,7.3,".226","0.607","2.79",67.5,15,28.4,"188","1578","473","939",26,47.7,61,48,19.8,"27.2","92.9","2537","-19","12.7","0.9",,,,,,,,"6.7","87.9","1715","-13.6","-29.6","15.2","1.4","16.8","79.6","2644","12.9","-58.1","19.4","1.2","15.7","92.8","2443","-10.7","-22.1","14.5","1","13.1","87.6","2712","5.4","-34.6","6.5","1.6",,,,,,,,"56.1","91.6","2551","-1.5","-23.5","2.8",
"Hendricks, Kyle","543294","2023","93",16.1,4.7,".255","0.686","3.74",62,13.7,33.9,"867","1167","73","593",21.1,46.7,67,47.4,21.6,"20.3","87.8","2134","-20.8","15.6","1.1",,,,,,,,"41.1","80.7","2156","-10.4","-33.5","14.3","1.2","3.5","73.3","2872","15.7","-61.1","18.7","1.4","35.1","87.5","2027","-12.2","-28.8","14","1.2",,,,,,,,,,,,,,,"55.4","87.6","2066","-9.6","-25.9","1.1",
"Lyles, Jordan","543475","2023","120",16,6,".255","0.806","6.28",69.6,12,28.4,"307","1444","371","937",20.1,48.1,59.9,33.9,33,"30.5","91.2","2250","-16.5","17.5","1.3","0","81.7","2344","4.2","-33.9","8",,"10.9","85.5","1677","-13.3","-30.8","15.2","1.5","13.1","79.4","2437","6.8","-59","16.9","1.8","13.1","90.5","2136","-12.8","-21.8","17.4","1.2","7.6","86.8","2411","3.8","-29.3","7.9","1.3",,,,,,,,"51.3","90.4","2245","-6.3","-19.8","2.2",
"Lorenzen, Michael","547179","2023","111",17.8,7.5,".243","0.701","4.18",68.6,15.1,30.1,"510","1127","577","814",21.6,49.4,66.7,41.9,30,"34.7","94.3","2452","-14.8","20","1.2","23.2","85.2","2542","2.5","-37.6","3.4","1.5","21.6","84.5","2094","-15.9","-29.1","18.6","1.6","1.2","82.3","2624","3.7","-52.9","13.3","1.4","12","93.7","2331","-16","-19.7","19.7","1.2","0.9","90.8","2648","-0.2","-25","8.4","1.5",,,,,,,,"47.6","94.1","2426","-12.6","-16.2","1.3",
"Wheeler, Zack","554430","2023","212",26.9,5,".229","0.638","3.61",70.6,20.2,32.1,"13","2394","361","1107",28.6,51.3,61.6,41.2,26,"43.4","95.8","2495","-14.5","16.7","1.2",,,,,,,,"0.4","90.8","1796","-15.1","-22.7","18.5","1.6","11.4","81.4","2742","10","-51.7","14.5","1.5","18.1","95.2","2315","-15.6","-22","17.8","1.3","14.4","90.9","2571","2.5","-27","7.3","1.7",,,,,,,,"75.9","94.7","2466","-6.9","-18.6","2.5",
"Corbin, Patrick","571578","2023","124",15.7,7.2,".293","0.825","5.20",65.4,11.6,27.1,"187","1711","1024","926",21.2,45.7,65.4,45.3,25.3,"17.1","91.8","2095","-18.7","16.2","1.2","35","80.5","2150","-2.6","-42.1","3.3","2.5","6.4","81.2","1563","12.7","-32.7","15.6","2",,,,,,,,"41.5","92.1","2039","14.6","-21.9","18.1","1.2",,,,,,,,,,,,,,,"58.6","92","2055","12.8","-21","1.2",
"Heaney, Andrew","571760","2023","151",23.6,9.4,".251","0.771","4.15",68.3,18.6,30.5,"441","1506","656","834",26.4,48.2,67.2,41.9,31,"57.9","92.5","2413","-18.3","21.2","1.2","25.2","82","2530","-5.7","-40.9","6.8","1.7","16.9","84","2117","17.7","-33","18.8","1.2","0","74.4","2394","-9.9","-53.6","10.9",,,,,,,,,,,,,,,,,,,,,,,"57.9","92.5","2413","15.9","-18.3","1.2",
"Mikolas, Miles","571945","2023","137",15.9,4.5,".282","0.773","4.78",68,13.3,27.5,"172","1610","1409","1193",16.7,49.7,68,39,27.7,"26","93.3","2275","-16.3","16.2","1.3","24.3","86.4","2335","3.7","-33.4","5.6","1.9","5.4","84.4","1640","-14","-30.1","16.8","4","19.8","75.9","2492","7.9","-62.9","17","1.5","24.5","92.7","2193","-14.2","-20.6","18.3","1.4",,,,,,,,,,,,,,,"50.5","93","2236","-9.8","-18.4","1.4",
"Stroman, Marcus","573186","2023","119",20.7,9,".231","0.639","3.95",66.6,12.9,26.8,"170","1413","115","673",22.3,45.1,57.9,57.4,16.2,"8.2","92","2412","-17","16.8","1.1","5.2","86.1","2784","4.6","-41.1","6.9","1.5",,,,,,,,,,,,,,,"46.4","91.4","2286","-10.9","-29.7","11.5","0.9","9.5","89.7","2603","1.4","-29.5","5.2","1.2","7.7","86.6","1778","-13.8","-34.7","14.2","1.4","64.1","91.3","2350","-8.5","-28","1.2",
"Kikuchi, Yusei","579328","2023","181",25.9,6.9,".255","0.737","3.86",67,18.5,29.6,"274","1269","1274","963",28,48.7,59.4,40,25.5,"45","95.1","2340","-14.2","19","1.1","25.9","88.7","2427","-2.5","-31.5","5.2","1.6","9.7","88.7","1724","9.1","-27.4","12","1.6","19.3","83.1","2536","-6.1","-43.1","7.9","2",,,,,,,,,,,,,,,,,,,,,,"45","95.1","2340","9.8","-14.2","1.1",
"Gausman, Kevin","592332","2023","237",31.1,7.2,".233","0.670","3.16",68.2,19.9,32.6,"1178","1560","313","982",28.9,49.3,63.4,42.9,26.4,"50.8","94.7","2278","-13.8","20.1","2.2","10.2","84","2236","1","-34.2","5.2","2.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.4","86.3","1787","-16.3","-32.2","17.2","2.1","50.8","94.7","2278","-10.6","-13.8","2.2",
"Gray, Jon","592351","2023","142",21.6,8.2,".256","0.725","4.12",69.2,17,32.1,"278","1014","950","833",26.3,50.8,66.5,40.8,26.8,"42.4","95.7","2010","-16.9","16.6","1.1","33.5","87.9","2383","3.5","-32.1","5.3","1.4","11.6","88.8","1455","-14.4","-27.9","16.2","1.1","6.2","78.2","2499","12.2","-53.8","15.2","1.6",,,,,,,,,,,,,,,,,,,,,,"42.4","95.7","2010","-10","-16.9","1.1",
"Smyly, Drew","592767","2023","141",22.5,8.9,".265","0.813","5.00",64.4,17.9,31.8,"0","1215","1186","705",27.1,46.6,62.6,35.9,28.1,,,,,,,,,,,,,,,,,,,,,"49.4","78.6","2120","3.2","-46.3","4.3","1.7","38.9","91.9","2055","8.2","-16","18.5","1.2","11.7","88.6","2071","3.6","-26.4","9.6","1.2",,,,,,,,"50.6","91.2","2059","7.1","-18.4","2",
"Taillon, Jameson","592791","2023","140",21.4,6.3,".258","0.750","4.84",67.9,17.1,29.2,"78","1688","392","884",22,49.1,69.6,38.4,28.1,"34","93.7","2329","-14.2","18.6","0.9","0.4","82.2","2763","7.9","-30.2","12.8","1.5","3.1","86.5","1867","-14.5","-26.5","17.6","1.4","15.1","80.5","2726","10.4","-52.1","14.5","1.3","10.4","94","2268","-13.7","-16.9","19.7","1","22.2","88.6","2545","4","-23.4","12.3","1.9",,,,,,,,"66.6","92","2391","-4.7","-17.7","3.1",
"Walker, Taijuan","592836","2023","138",18.8,9.7,".238","0.717","4.38",63.7,13.5,27.4,"943","1653","162","831",20.5,44.1,60.7,45.3,25,"17.4","92.9","2113","-15.2","19","1.5",,,,,,,,,,,,,,,"5.7","74.8","2352","7.8","-60.3","13.8","1.9","23.4","92.4","1964","-15.4","-20.6","19.3","1.7","17.5","87.2","2382","2.8","-25.3","11.3","1.9","33.2","87.9","1414","-11.8","-33","12.4","1.7","58.3","91","2134","-8.1","-20.4","3.3",
