"last_name, first_name","player_id","year","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_stolen_base","exit_velocity_avg","launch_angle_avg","whiff_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","hp_to_1b","sprint_speed",""
"Suarez, Eugenio","553993","2023","22",".232",".391",".323","0.714","2","90.3","18.9",32.8,34.2,34.4,25.1,6.3,"4.71","26.4",
"Wade Jr., LaMonte","664774","2023","17",".256",".417",".373","0.790","2","88.4","17.4",20.7,39.5,28.7,23.7,8.2,"4.62","26.0",
"Lindor, Francisco","596019","2023","31",".254",".470",".336","0.806","31","91.2","19.2",22.8,34.1,31.4,24.2,10.4,"4.35","28.2",
"Marte, Ketel","606466","2023","25",".276",".485",".358","0.843","8","91.1","10.7",20.5,45.8,25.2,23,6,"4.37","27.6",
"Gimenez, Andres","665926","2023","15",".251",".399",".314","0.713","30","84.8","13.1",25,46.7,22.1,21.9,9.3,"4.17","29.2",
"Smith, Will","669257","2023","19",".261",".438",".359","0.797","3","89.3","15.6",19.5,37.7,32.3,24,5.9,"4.49","27.2",
"Betts, Mookie","605141","2023","39",".307",".579",".408","0.987","14","92.4","20.6",16.7,27.6,35.7,29.3,7.5,"4.48","27.2",
"Arraez, Luis","650333","2023","10",".354",".469",".393","0.862","3","88.3","11.5",7.8,42.8,24.1,31.3,1.8,"4.58","26.1",
"Yoshida, Masataka","807799","2023","15",".289",".445",".338","0.783","8","89","3.9",18.3,55,19.4,21.4,4.1,"4.36","26.2",
"Kwan, Steven","680757","2023","5",".268",".370",".340","0.710","21","86","10.7",11.1,46.7,20,28.8,4.6,"4.22","28.1",
"Turner, Trea","607208","2023","26",".266",".459",".320","0.779","30","89.9","13",29.6,40.2,30.6,23.7,5.5,"4.14","30.3",
"Soto, Juan","665742","2023","35",".275",".519",".410","0.929","12","93.2","6.7",20.4,51.9,25.2,18.9,4,"4.39","26.8",
"Hayes, Ke'Bryan","663647","2023","15",".271",".453",".309","0.762","10","92.2","13.2",21.2,42,26.2,24.9,6.9,"4.52","27.1",
"Yelich, Christian","592885","2023","19",".278",".447",".370","0.817","28","91.7","3.5",26.8,57.4,17.3,22.4,2.9,"4.35","28.1",
"Rooker Jr., Brent","667670","2023","30",".246",".488",".329","0.817","4","91.6","17.6",38.2,33.2,36.9,24.7,5.1,"4.62","27.1",
"Ohtani, Shohei","660271","2023","44",".304",".654",".412","1.066","20","94.4","13.2",32.3,42.6,30.3,22.7,4.5,"4.16","27.8",
"Tovar, Ezequiel","678662","2023","15",".253",".408",".287","0.695","11","88","12.6",31.3,43.1,26.4,26.2,4.3,"4.37","28.1",
"Seager, Corey","608369","2023","33",".327",".623",".390","1.013","2","93.3","13",25,40.3,29.4,27.1,3.3,"4.67","26.2",
